,Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex,NewColumn,TimeSecs
102,40,7,100,0,n,4118,1,21,F,800,4.118
103,40,8,0,1,b,2539,1,21,F,800,2.539
104,40,9,150,0,n,4424,1,21,F,800,4.424
105,40,11,50,0,n,3083,1,21,F,800,3.083
106,40,12,0,0,n,1852,1,21,F,800,1.852
107,40,13,0,1,b,2004,1,21,F,800,2.004
108,40,14,100,0,n,2063,1,21,F,800,2.063
109,40,15,100,1,b,3558,1,21,F,800,3.558
110,40,16,50,1,b,2348,1,21,F,800,2.348
111,40,17,100,0,n,3890,1,21,F,800,3.89
112,40,18,150,1,b,3210,1,21,F,800,3.21
113,40,19,50,0,n,2124,1,21,F,800,2.124
114,40,20,50,1,b,2514,1,21,F,800,2.514
115,40,21,100,0,n,2015,1,21,F,800,2.015
116,40,22,0,0,n,2553,1,21,F,800,2.553
117,40,23,0,1,b,3188,1,21,F,800,3.188
118,40,24,150,0,n,3009,1,21,F,800,3.009
119,40,25,150,0,n,3257,1,21,F,800,3.257
120,40,26,50,0,n,2797,1,21,F,800,2.797
121,40,27,50,1,b,4320,1,21,F,800,4.32
122,40,28,100,1,b,4888,1,21,F,800,4.888
123,40,29,0,1,b,2037,1,21,F,800,2.037
124,40,30,0,0,n,3990,1,21,F,800,3.99
125,40,31,150,1,n,4549,0,21,F,800,4.549
126,40,32,100,0,n,4848,1,21,F,800,4.848
127,40,33,50,1,b,2966,1,21,F,800,2.966
128,40,34,100,1,b,6631,1,21,F,800,6.631
129,40,35,150,1,b,6713,1,21,F,800,6.713
130,40,36,0,0,n,2182,1,21,F,800,2.182
131,40,37,100,1,b,3812,1,21,F,800,3.812
132,40,38,150,0,n,5613,1,21,F,800,5.613
133,40,39,0,1,b,1680,1,21,F,800,1.68
134,40,40,50,0,n,3701,1,21,F,800,3.701
135,40,41,150,1,b,5292,1,21,F,800,5.292
136,40,42,0,0,n,2300,1,21,F,800,2.3
137,40,43,100,1,b,2413,1,21,F,800,2.413
138,40,44,150,0,n,4696,1,21,F,800,4.696
139,40,45,50,0,n,2264,1,21,F,800,2.264
140,40,46,100,0,n,3255,1,21,F,800,3.255
141,40,47,0,1,b,1095,1,21,F,800,1.095
142,40,48,50,1,b,3656,1,21,F,800,3.656
143,40,49,100,0,n,2982,1,21,F,800,2.982
144,40,50,150,0,n,2381,1,21,F,800,2.381
145,40,51,0,1,b,1351,1,21,F,800,1.351
146,40,52,0,0,n,4494,1,21,F,800,4.494
147,40,53,100,1,b,3108,1,21,F,800,3.108
148,40,54,50,0,n,1367,1,21,F,800,1.367
149,40,55,150,1,n,6816,0,21,F,800,6.816
150,40,56,50,1,b,2273,1,21,F,800,2.273
151,40,57,150,0,n,2385,1,21,F,800,2.385
152,40,58,100,0,n,2056,1,21,F,800,2.056
153,40,59,150,1,b,2741,1,21,F,800,2.741
154,40,60,100,1,b,3555,1,21,F,800,3.555
155,40,61,0,1,b,1213,1,21,F,800,1.213
156,40,62,0,0,n,1193,1,21,F,800,1.193
157,40,63,50,0,n,2308,1,21,F,800,2.308
158,40,64,50,1,b,2319,1,21,F,800,2.319
159,40,65,150,0,n,5089,1,21,F,800,5.089
160,40,66,0,1,b,1983,1,21,F,800,1.983
161,40,67,150,1,b,3050,1,21,F,800,3.05
162,40,68,0,0,n,1251,1,21,F,800,1.251
163,40,69,50,0,n,3149,1,21,F,800,3.149
164,40,70,50,1,b,1792,1,21,F,800,1.792
